epoch,accuracy,an_mean,an_std,ap_mean,ap_std,loss,val_accuracy,val_an_mean,val_an_std,val_ap_mean,val_ap_std,val_loss
1,0.9366456270217896,0.3027309775352478,0.8471917510032654,0.07728486508131027,0.8471917510032654,0.4595913887023926,0.9276729822158813,2.1570019721984863,8.10092544555664,2.984205484390259,8.10092544555664,1.8871489763259888
2,0.9397952556610107,1.0410716533660889,3.3002641201019287,0.351479709148407,3.3002641201019287,0.5223904252052307,0.9349730610847473,2.774134397506714,11.219751358032227,4.3848958015441895,11.219751358032227,2.6115877628326416
3,0.9345202445983887,0.8250731229782104,2.105086088180542,0.16268020868301392,2.105086088180542,0.4456607401371002,0.9221024513244629,0.9160352945327759,2.71273136138916,1.027517557144165,2.71273136138916,0.9261783957481384
4,0.9356213808059692,7.73354434967041,34.00859832763672,1.2466795444488525,34.00859832763672,0.829872190952301,0.9300763607025146,2.7435903549194336,10.820943832397461,4.405714511871338,10.820943832397461,2.636378288269043
5,0.9242530465126038,0.19395388662815094,0.5149587392807007,0.08409738540649414,0.5149587392807007,0.4753819704055786,0.9313342571258545,2.818094253540039,11.086201667785645,4.159491062164307,11.086201667785645,2.4545862674713135
6,0.9381460547447205,2.0228867530822754,6.13456392288208,0.19934004545211792,6.13456392288208,0.399497389793396,0.9013028144836426,4.241617202758789,8.498981475830078,4.096595287322998,8.498981475830078,2.193707227706909
7,0.9292204976081848,2.337775230407715,6.437215328216553,0.3981941044330597,6.437215328216553,0.3972044289112091,0.9043576121330261,2.3637287616729736,5.372861862182617,2.542691707611084,5.372861862182617,1.5130317211151123
8,0.9149529933929443,0.9235552549362183,1.970977544784546,0.3653833270072937,1.970977544784546,0.45269569754600525,0.8961365818977356,1.5551849603652954,2.8225245475769043,1.4687250852584839,2.8225245475769043,1.0345900058746338
9,0.9150943160057068,0.9012179374694824,1.831579327583313,0.27544838190078735,1.831579327583313,0.3952418863773346,0.8935310244560242,2.782158851623535,4.473649024963379,2.443814754486084,4.473649024963379,1.4649239778518677
10,0.9145462512969971,0.9059115648269653,1.846737027168274,0.26363617181777954,1.846737027168274,0.3863322138786316,0.8958221077919006,2.6704039573669434,4.404834747314453,2.3789172172546387,4.404834747314453,1.451048731803894
